ADILABAD,Andhra, S. VENUGOPALA CHARY,TDP,1996
AMALAPURAM (SC),Andhra, K.S.R MURTHY,INC,1996
ANAKAPALLI,Andhra, AYYANNA PAURUDU CHINTAKAYALA,TDP,1996
ANANTAPUR,Andhra, ANANTHA VENKATARAMI REDDY,INC,1996
BAPATLA,Andhra, UMMAREDDY VENKATESWARLU,TDP,1996
BHADRACHALAM (ST),Andhra, SODE RAMAIAH,CPI,1996
BOBBILI,Andhra, KONDAPALLI PYDITHALLI NAIDU,TDP,1996
CHITTOOR,Andhra, N.RAMAKRISHNA REDDY,TDP,1996
CUDDAPAH,Andhra, RAJASEKHARA REDDY Y.S.,INC,1996
ELURU,Andhra, BOLLA BULI RAMAIAH,TDP,1996
GUNTUR,Andhra, RAYAPATI SAMBA SIVA RAO,INC,1996
HANAMKONDA,Andhra, M. KAMALUDDIN AHMED,INC,1996
HINDUPUR,Andhra, S.RAMACHANDRA REDDY,TDP,1996
HYDERABAD,Andhra, SULTAN SALAHUDDIN OWAISI,AIMIM,1996
KAKINADA,Andhra, GOPALAKRISHNA THOTA,TDP,1996
KARIMNAGAR,Andhra, LGANDULA RAMANA,TDP,1996
KHAMMAM,Andhra, VEERABHADRAM TAMMINENI,CPM,1996
KURNOOL,Andhra, KOTLA VIJAYA BHASKARA REDDY,INC,1996
MACHILIPATNAM,Andhra, SATYANARAYANA KAIKALA,TDP,1996
MAHABUBNAGAR,Andhra, MALLIKARJUN,INC,1996
MEDAK,Andhra, M. BAAGA REDDY,INC,1996
MIRYALGUDA ,Andhra,NARSIMHA REDDY BADDAM ,INC,1996
NAGARKURNOOL (SC),Andhra, M. JAGANNATH,TDP,1996
NALGONDA,Andhra, BOMMAGANI DHARMA BIXAM,CPI,1996
NANDYAL,Andhra,BHUMA NAGI REDDY,TDP,1996
NARASAPUR,Andhra, KOTHAPALLI SUBBARAYUDU (PEDABABU),TDP,1996
NARASARAOPET,Andhra, SAIDAIAH KOTA,TDP,1996
NELLORE (SC),Andhra, PANABAKA LAKSHMI,INC,1996
NIZAMABAD,Andhra, ATMACHARAN REDDY,INC,1996
ONGOLE,Andhra, PARVATHAMMA MAGUNTA,INC,1996
PARVATHIPURAM (ST),Andhra, PRADEEP KUMAR DEV VYRICHERLA,INC,1996
PEDDAPALLI (SC),Andhra, G. VENKAT SWAMY,INC,1996
RAJAHMUNDRY,Andhra, CHITTURI RAVINDRA,INC,1996
RAJAMPET,Andhra, ANNAIAHGARI SAI PRATHAP,INC,1996
SECUNDERABAD,Andhra, RAJESHWAR RAO P.V.,INC,1996
SIDDIPET (SC),Andhra, YELLAIAH NANDI,INC,1996
SRIKAKULAM ,Andhra,KINJARAPU YERRANNAIDU ,TDP,1996
TENALI,Andhra, SARADA TADIPARTHI,TDP,1996
TIRUPATHI (SC),Andhra, NELAVALA SUBRAHMANYAM,INC,1996
VIJAYAWADA,Andhra, UPENDRA PARVATHANENI,INC,1996
VISAKHAPATNAM,Andhra, T. SUBBARAMI REDDI,INC,1996
WARANGAL,Andhra, AJMEERA CHANDULAL,TDP,1996
ARARIA (SC),Bihar, SUKDEO PASWAN,JD,1996
ARRAH,Bihar, CHANDRA DEO PRASAD VERMA,JD,1996
AURANGABAD,Bihar, VIRENDRA KUMAR SINGH,JD,1996
BAGAHA (SC) ,Bihar,MAHENDRA BAITHA ,SAP,1996
BALIA,Bihar, SHATRUGHAN PRASAD SINGH,CPI,1996
BANKA,Bihar, GIRIDHARI YADAV,JD,1996
BARH,Bihar, NITISH KUMAR,SAP,1996
BEGUSARAI,Bihar, RAMENDRA KUMAR,IND,1996
BETTIAH,Bihar, MADAN PRASAD JAISWAL,BJP,1996
BHAGALPUR,Bihar, CHUNCHUN PRASAD YADAV,JD,1996
BIKRAMGANJ,Bihar, KANTI SINGH,JD,1996
BUXAR,Bihar, LAL MUNI CHOUBEY,BJP,1996
CHAPRA,Bihar, RAJIV PRATAP RUDI,BJP,1996
CHATRA,Bihar, DHEERENDRA AGRAWAL,BJP,1996
DARBHANGA,Bihar, MD. ALI ASHRAF FATMI,JD,1996
DHANBAD,Bihar, RITA VERMA,BJP,1996
DUMKA (ST),Bihar, SHIBU SOREN,JMM,1996
GAYA (SC),Bihar, BHAGWATI DEVI,JD,1996
GIRIDIH,Bihar, RAVINDRA KUMAR PANDEY,BJP,1996
GODDA,Bihar, JAGDAMBI PRASAD YADAV,BJP,1996
GOPALGANJ,Bihar, LAL BABU PD. YADAV,JD,1996
HAJIPUR (SC),Bihar, RAM BILASH PASWAN,JD,1996
HAZARIBAGH,Bihar, MAHABIR LAL VISWAKARMA,BJP,1996
JAHANABAD,Bihar, RAMASHRAYA PRASAD SINGH,CPI,1996
JAMSHEDPUR,Bihar, BHARDWAJ NITISH JANARDAN,BJP,1996
JHANJHARPUR,Bihar, DEVENDRA PRASAD YADAV,JD,1996
KATIHAR ,Bihar,TARIQ ANWAR ,INC,1996
KHAGARIA,Bihar, ANIL KUMAR YADAV,JD,1996
KHUNTI (ST),Bihar, KARIYA MUNDA,BJP,1996
KISHANGANJ,Bihar, TASLIMUDDIN,JD,1996
KODARMA,Bihar, RITLAL PRASAD VERMA,BJP,1996
LOHARDAGA (ST),Bihar, LALIT ORAON,BJP,1996
MADHEPURA,Bihar, SHARAD YADAV,JD,1996
MADHUBANI,Bihar, CHATURANAN MISHRA,CPI,1996
MAHARAJGANJ,Bihar, RAM BAHADUR SINGH,SAP,1996
MONGHYR,Bihar, BRAHMANAND MANDAL,SAP,1996
MOTIHARI,Bihar, RADHA MOHAN SINGH,BJP,1996
MUZAFFARPUR,Bihar, JAI NARAIN PD. NISHAD,JD,1996
NALANDA,Bihar, GEORGE FERANDES,SAP,1996
NAWADA (SC),Bihar, KAMESHWAR PASWAN,BJP,1996
PALAMU (SC) ,Bihar,BRAJ MOHAN RAM ,BJP,1996
PATNA,Bihar, RAMKRIPAL YADAV,JD,1996
PURNEA,Bihar, RAJESH RANJAN,SP,1996
RAJMAHAL (ST),Bihar, THOMAS HANSDA,INC,1996
RANCHI,Bihar, RAM TAHAL CHOUDHARY,BJP,1996
ROSERA (SC),Bihar, PITAMBAR PASWAN,JD,1996
SAHARSA,Bihar, DINESH CHANDERA YADAV,JD,1996
SAMASTIPUR,Bihar, AJIT KUMAR MEHTA,JD,1996
SASARAM (SC),Bihar, MUNI LAL,BJP,1996
SHEOHAR,Bihar, ANAND MOHAN,SAP,1996
SINGHBHUM (ST),Bihar, CHITRASEN SINKU,BJP,1996
SITAMARHI,Bihar, NAWAL KISHORE RAI,JD,1996
SIWAN,Bihar, M. SAHABUDDIN,JD,1996
VAISHALI,Bihar, RAGHYBANSH PRASAD SINGH,JD,1996
CHANDNI CHOWK,Delhi, JAI PARKASH AGARWAL,INC,1996
DELHI SADAR ,Delhi,VIJAY KUMAR GOEL ,BJP,1996
EAST DELHI,Delhi," B.L. SHARMA ""PREM""",BJP,1996
KAROL BAGH (SC) ,Delhi,MEIRA KUMAR ,INC,1996
NEW DELHI ,Delhi,JAGMOHAN ,BJP,1996
OUTER DELHI,Delhi, KRISHAN LAL SHARMA,BJP,1996
SOUTH DELHI,Delhi, SUSHMA SWARAJ,BJP,1996
AHMEDABAD,Gujarat, HARIN PATHAK,BJP,1996
AMRELI,Gujarat, DILEEP SANGHANI,BJP,1996
ANAND,Gujarat, CHAVDA ISHWARBHAI KHODABHAI,INC,1996
BANASKANTHA,Gujarat, B.K. GADHAVI,INC,1996
BARODA,Gujarat, GAEKWAD SATYAJITSINH DILIPSINH,INC,1996
BHAVNAGAR,Gujarat, RAJENDRASINH GHANSHYAMSINH RANA,BJP,1996
BROACH,Gujarat, CHANDUBHAI SHANABHAI DESHMUKH,BJP,1996
BULSAR (ST) ,Gujarat,MANIBHAI RAMJIBHAI CHAUDHARI ,BJP,1996
CHHOTA UDAIPUR (ST) ,Gujarat,RATHAWA NARANBHAI JEMALABHAI ,INC,1996
DHANDHUKA (SC),Gujarat, VARMA RATILAL KALIDAS,BJP,1996
DOHAD (ST),Gujarat, DAMOR SOMJIBHAI PUNJABHAI,INC,1996
GANDHINAGAR,Gujarat,PATEL VIJAY HARISCHANDRA,BJP,1996
GODHRA,Gujarat, PATEL SHANTILAL PARSOTAMDAS,INC,1996
JAMNAGAR,Gujarat, KORADIA CHANDRESHBHAI VALJIBHAI(C.PATEL),BJP,1996
JUNAGADH,Gujarat, CHIKHALIYA BHAVNABEN DEVARAJBHAI,BJP,1996
KAIRA,Gujarat, DINSHA PATEL,INC,1996
KAPADVANJ,Gujarat, CHAUHAN JAYSINHJI MANSINGJI,BJP,1996
KUTCH ,Gujarat,GADHVI PUSHPADAN SHAMBHUDAN ,BJP,1996
MANDVI (ST),Gujarat, GAMIT CHHITUBHAI DEVJIBHAI,INC,1996
MEHSANA,Gujarat, DR. A.K. PATEL,BJP,1996
PATAN (SC),Gujarat, MAHESHKUMAR MITHABHAI KANODIA,BJP,1996
PORBANDAR,Gujarat, JAVIYA GORDHANBHAI JADAVBHAI,BJP,1996
RAJKOT,Gujarat, DR. KATHIRIYA VALLABHBHAI RAMJIBHAI,BJP,1996
SABARKANTHA,Gujarat, NISHA AMARSINH CHAUDHARY,INC,1996
SURAT,Gujarat, KASHIRAM RANA,BJP,1996
SURENDRANAGAR,Gujarat, SANAT MEHTA,INC,1996
