ST_CODE,ST_NAME,PC_NO,PC_NAME,PC_TYPE,MONTH,YEAR,CAND_NAME,CAND_SEX,PARTYABBRE,TOTVOTPOLL
S01,ANDHRA,1,SRIKAKULAM,GEN,3,1998,KINJARAPU YERRANNAIDU,M,TDP,286582
S01,ANDHRA,2,PARVATHIPURAM,ST,3,1998,VIJAYA RAMARAJU SETRUCHARLA,M,TDP,299904
S01,ANDHRA,3,BOBBILI,GEN,3,1998,KONDAPALLI PYDITHALLI NAIDU,M,TDP,298961
S01,ANDHRA,4,VISAKHAPATNAM,GEN,3,1998,SUBBARAMI REDDY.T,M,INC,375782
S01,ANDHRA,5,BHADRACHALAM,ST,3,1998,RAMAIAH SODE,M,CPI,263141
S01,ANDHRA,6,ANAKAPALLI,GEN,3,1998,GURUNADHA RAO GUDIVADA,M,INC,321840
S01,ANDHRA,7,KAKINADA,GEN,3,1998,KRISHNAMRAJU U.V.,M,BJP,330381
S01,ANDHRA,8,RAJAHMUNDRY,GEN,3,1998,GIRAJALA VENKATA SWAMY NAIDU,M,BJP,285741
S01,ANDHRA,9,AMALAPURAM,SC,3,1998,GANTI MOHANA CHANDRA BALAYOGI,M,TDP,286953
S01,ANDHRA,10,NARASAPUR,GEN,3,1998,KANUMURU BAPI RAJU,M,INC,368630
S01,ANDHRA,11,ELURU,GEN,3,1998,MAGANTI VENKATESWARA RAO (BABU),M,INC,385412
S01,ANDHRA,12,MACHILIPATNAM,GEN,3,1998,KAVURU SAMBASIVA RAO,M,INC,355030
S01,ANDHRA,13,VIJAYAWADA,GEN,3,1998,UPENDRA PARVATHANENI,M,INC,405062
S01,ANDHRA,14,TENALI,GEN,3,1998,P.SHIV SHANKER,M,INC,290014
S01,ANDHRA,15,GUNTUR,GEN,3,1998,RAYAPATI SAMBASIVA RAO,M,INC,359456
S01,ANDHRA,16,BAPATLA,GEN,3,1998,JANARDHANA REDDY NEDURUMALLI,M,INC,316788
