ST_CODE,PC_NAME,ST_NAME,CAND_NAME,PARTYABBRE,YEAR,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
S01,Srikakulam,ANDHRA,Yerrannaidu Kinjarapu,TDP,1999,1,GEN,7,M,373851
S01,Parvathipuram,ANDHRA,Dadichiluka Veera Gouri Sankara Rao,TDP,1999,2,ST,7,M,304000
S01,Bobbili,ANDHRA,Botcha Satyanarayana,INC,1999,3,GEN,7,M,339768
S01,Visakhapatnam,ANDHRA,M.V.V.S.Murthy,TDP,1999,4,GEN,7,M,442036
S01,Bhadrachalam,ANDHRA,Dumpa Mary Vijaya Kumari,TDP,1999,5,ST,7,F,293593
S01,Anakapalli,ANDHRA,Ganta Srinivasa Rao,TDP,1999,6,GEN,7,M,392984
S01,Kakinada,ANDHRA,Mudragada Padmanabham,TDP,1999,7,GEN,7,M,435811
S01,Rajahmundry,ANDHRA,Satyanarayana Rao S.B.P.B.K,BJP,1999,8,GEN,7,M,411956
S01,Amalapuram,ANDHRA,Ganti Mohanachandra Balayogi,TDP,1999,9,SC,7,M,368476
S01,Narasapur,ANDHRA,Uppalapati Venkata Krishnam Raju,BJP,1999,10,GEN,7,M,421099
S01,Eluru,ANDHRA,Bolla Bulli Ramaiah,TDP,1999,11,GEN,7,M,435884
S01,Machilipatnam,ANDHRA,Ambati Brahmanaiah,TDP,1999,12,GEN,7,M,387533
S01,Vijayawada,ANDHRA,Gadde Rama Mohan,TDP,1999,13,GEN,7,M,482968
S01,Tenali,ANDHRA,Ummareddy Venkateswarlu,TDP,1999,14,GEN,7,M,339800
S01,Guntur,ANDHRA,Yemparala Venkateswararao,TDP,1999,15,GEN,7,M,399065
S01,Bapatla,ANDHRA,D. Rama Naidu,TDP,1999,16,GEN,7,M,399596
S01,Narasaraopet,ANDHRA,Janardhanareddy Nedurumalli,INC,1999,17,GEN,7,M,432266
S01,Ongole,ANDHRA,Karanam Balarama Krishna Murthy,TDP,1999,18,GEN,7,M,392840
S01,Nellore,ANDHRA,Rajeswaramma Vukkala,TDP,1999,19,SC,7,F,381166
S01,Tirupathi,ANDHRA,Dr.N.Venkataswamy,BJP,1999,20,SC,7,M,386478
S01,Chittoor,ANDHRA,Noothana Kalva Ramakrishna Reddy,TDP,1999,21,GEN,7,M,419208
S01,Rajampet,ANDHRA,Gunipati Ramaiah,TDP,1999,22,GEN,7,M,322107
S01,Cuddapah,ANDHRA,Vivekananda Reddy  Y.S.,INC,1999,23,GEN,7,M,367833
S01,Hindupur,ANDHRA,B.K. Parthasarathi,TDP,1999,24,GEN,7,M,432575
S01,Anantapur,ANDHRA,Kalava Srinivasulu,TDP,1999,25,GEN,7,M,378488
S01,Kurnool,ANDHRA,Kambhalapati E. Krishna Murthy,TDP,1999,26,GEN,7,M,385688
S01,Nandyal,ANDHRA,Bhuma  Nagi Reddy,TDP,1999,27,GEN,7,M,391655
S01,Nagarkurnool,ANDHRA,Dr.Manda Jagannath,TDP,1999,28,SC,7,M,431095
S01,Mahabubnagar,ANDHRA,A.P.Jitender Reddy,BJP,1999,29,GEN,7,M,391588
S01,Hyderabad,ANDHRA,Sultan Salahuddin Owaisi,AIMIM,1999,30,GEN,7,M,448165
