PC Name,State ,Winner,Party,Year,PC NO
 Adilabad  , Andhra Pradesh  , Rathod Ramesh  ,TDP  ,2009,1
 Peddapalle  , Andhra Pradesh  , Dr.G.Vivekanand  ,INC  ,2009,2
 Karimnagar  , Andhra Pradesh  , Ponnam Prabhakar  ,INC  ,2009,3
 Nizamabad  , Andhra Pradesh  , Madhu Yaskhi Goud  ,INC  ,2009,4
 Zahirabad  , Andhra Pradesh  , Suresh Kumar Shetkar  ,INC  ,2009,5
 Medak  , Andhra Pradesh  , Vijaya Shanthi .M  ,TRS  ,2009,6
 Malkajgiri  , Andhra Pradesh  , Sarvey Sathyanarayana  ,INC  ,2009,7
 Secundrabad  , Andhra Pradesh  , Anjan Kumar Yadav M  ,INC  ,2009,8
 Hyderabad  , Andhra Pradesh  , Asaduddin Owaisi  ,AIMIM,2009,9
 Chelvella  , Andhra Pradesh  , Jaipal Reddy Sudini  ,INC  ,2009,10
 Mahbubnagar  , Andhra Pradesh  , K. Chandrasekhar Rao  ,TRS  ,2009,11
 Nagarkurnool  , Andhra Pradesh  , Dr. Manda Jagannath  ,INC  ,2009,12
 Nalgonda  , Andhra Pradesh  , Gutha Sukender Reddy  ,INC  ,2009,13
 Bhongir  , Andhra Pradesh  , Komatireddy Raj Gopal Reddy  ,INC  ,2009,14
 Warangal  , Andhra Pradesh  , Rajaiah Siricilla  ,INC  ,2009,15
 Mahabubabad  , Andhra Pradesh  , P. Balram  ,INC  ,2009,16
 Khammam  , Andhra Pradesh  , Nama Nageswara Rao  ,TDP  ,2009,17
 Aruku  , Andhra Pradesh  , Kishore Chandra Suryanarayana Deo Vyricherla  ,INC  ,2009,18
 Srikakulam  , Andhra Pradesh  , Killi Krupa Rani  ,INC  ,2009,19
 Vizianagaram  , Andhra Pradesh  , Jhansi Lakshmi Botcha  ,INC  ,2009,20
 Visakhapatnam  , Andhra Pradesh  , Daggubati Purandeswari  ,INC  ,2009,21
 Anakapalli  , Andhra Pradesh  , Sabbam Hari  ,INC  ,2009,22
 Kakinada  , Andhra Pradesh  , M.M.Pallamraju  ,INC  ,2009,23
 Amalapuram  , Andhra Pradesh  , G.V.Harsha Kumar  ,INC  ,2009,24
 Rajahmundry  , Andhra Pradesh  , Aruna Kumar Vundavalli  ,INC  ,2009,25
 Narsapuram  , Andhra Pradesh  , Bapiraju Kanumuru  ,INC  ,2009,26
 Eluru  , Andhra Pradesh  , Kavuri Sambasiva Rao  ,INC  ,2009,27
 Machilipatnam  , Andhra Pradesh  , Konakalla Narayana Rao  ,TDP  ,2009,28
 Vijayawada  , Andhra Pradesh  , Lagadapati Raja Gopal  ,INC  ,2009,29
 Guntur  , Andhra Pradesh  , Rayapati Sambasiva Rao  ,INC  ,2009,30
 Narasaraopet  , Andhra Pradesh  , Modugula Venugopala Reddy  ,TDP  ,2009,31
 Bapatla  , Andhra Pradesh  , Panabaka Lakshmi  ,INC  ,2009,32
 Ongole  , Andhra Pradesh  , Magunta Srinivasulu Reddy  ,INC  ,2009,33
 Nandyal  , Andhra Pradesh  , S.P.Y.Reddy  ,INC  ,2009,34
 Kurnool  , Andhra Pradesh  , Kotla Jaya Surya Prakash Reddy  ,INC  ,2009,35
 Anantapur  , Andhra Pradesh  , Anantha Venkata Rami Reddy  ,INC  ,2009,36
 Hindupur  , Andhra Pradesh  , Kristappa Nimmala  ,TDP  ,2009,37
 Kadapa  , Andhra Pradesh  , Y.S. Jagan Mohan Reddy  ,INC  ,2009,38
 Nellore  , Andhra Pradesh  , Mekapati Rajamohan Reddy  ,INC  ,2009,39
 Tirupati  , Andhra Pradesh  , Chinta Mohan  ,INC  ,2009,40
 Rajampet  , Andhra Pradesh  , Annayyagari Sai Prathap  ,INC  ,2009,41
 Chittoor  , Andhra Pradesh  , Naramalli Sivaprasad  ,TDP  ,2009,42
 Valmiki Nagar  , Bihar  , Baidyanath Prasad Mahto  ,JD(U),2009,1
 Paschim Champaran  , Bihar  , Dr. Sanjay Jaiswal  ,BJP,2009,2
 Purvi Champaran  , Bihar  , Radha Mohan Singh  ,BJP,2009,3
 Sheohar  , Bihar  , Rama Devi  ,BJP,2009,4
 Sitamarhi  , Bihar  , Arjun Roy  ,JD(U),2009,5
 Madhubani  , Bihar  , Hukmadeo Narayan Yadav  ,BJP,2009,6
 Jhanjharpur  , Bihar  , Mangani Lal Mandal  ,JD(U),2009,7
 Supaul  , Bihar  , Vishwa Mohan Kumar  ,JD(U),2009,8
 Araria  , Bihar  , Pradeep Kumar Singh  ,BJP,2009,9
 Kishanganj  , Bihar  , Mohammad Asrarul Haque  ,INC  ,2009,10
 Katihar  , Bihar  , Nikhil Kumar Choudhary  ,BJP,2009,11
 Purnia  , Bihar  , Uday Singh Alias Pappu Singh  ,BJP,2009,12
 Madhepura  , Bihar  , Sharad Yadav  ,JD(U),2009,13
 Darbhanga  , Bihar  , Kirti Azad  ,BJP,2009,14
 Muzaffarpur  , Bihar  , Captain Jai Narayan Prasad Nishad  ,JD(U),2009,15
 Vaishali  , Bihar  , Raghuvansh Prasad Singh  ,RJD,2009,16
 Gopalganj  , Bihar  , Purnmasi Ram  ,JD(U),2009,17
 Siwan  , Bihar  , Om Prakash Yadav  ,IND,2009,18
 Maharajganj  , Bihar  , Uma Shanaker Singh  ,RJD,2009,19
 Saran  , Bihar  , Lalu Prasad  ,RJD,2009,20
 Hajipur  , Bihar  , Ram Sundar Das  ,JD(U),2009,21
 Ujiarpur  , Bihar  , Aswamedh Devi  ,JD(U),2009,22
 Samastipur  , Bihar  , Maheshwar Hazari  ,JD(U),2009,23
 Begusarai  , Bihar  , Dr. Monazir Hassan  ,JD(U),2009,24
 Khagaria  , Bihar  , Dinesh Chandra Yadav  ,JD(U),2009,25
 Bhagalpur  , Bihar  , Syed Shahnawaz Hussain  ,BJP,2009,26
 Banka  , Bihar  , Digvijay Singh  ,IND,2009,27
 Munger  , Bihar  , Rajiv Ranjan Singh Alias Lalan Singh  ,JD(U),2009,28
 Nalanda  , Bihar  , Kaushalendra Kumar  ,JD(U),2009,29
