Constituency,State,MP,Party,Year
MIRYALGUDA ,Andhra,BHIMREDDY NARSIMHA REDDY ,CPM,1984
NALGONDA ,Andhra,MALLAREDDY RAGUMA REDDY ,TDP,1984
NARASAPUR ,Andhra,VIJAYA KUMAR RAJU BHUPATHIRAJU ,TDP,1984
AMALAPURAM (SC) ,Andhra,AITHABATHUL A JOGESWARA VENKATA BUTHCI MAHESWARA RAO ,TDP,1984
BOBBILI ,Andhra,ANAND GAJAPATHI RAJU POOSAPATI ,TDP,1984
PARVATHIPURAM (ST) ,Andhra,KISHORE CHANDRA SURYAMARAYANA DEO VYRICHERIA ,ICS,1984
SRIKAKULAM ,Andhra,APPAYYADORA HANUMANTU ,TDP,1984
VISAKHAPATNAM,Andhra, BHATTAM SREERAMA MURTHY,TDP,1984
BHADRACHALAM (ST),Andhra, SODE RAMAIAH,CPI,1984
ANAKAPALLI,Andhra, APPALANARASIMHAM P.,TDP,1984
KAKINADA,Andhra, THOTA GOPALA KRISHNA,TDP,1984
RAJAHMUNDRY,Andhra, SRIHARI RAO,TDP,1984
ELURU,Andhra, BOLLA BULLI RAMAIAH,TDP,1984
MACHILIPATNAM,Andhra, SAMBASIVARAO KUVURU,INC,1984
VIJAYAWADA,Andhra, VADDE SOBHANADREESWARA RAO,TDP,1984
TENALI,Andhra, NISSANKARARAO VENKATARATNAM,TDP,1984
GUNTUR,Andhra, N.G.RANGA,INC,1984
BAPATLA,Andhra, CHIMATA SAMBU,TDP,1984
NARASARAOPET,Andhra, KATURI NARAYANASWAMY,TDP,1984
ONGOLE,Andhra, BEZAWADA PAPIREDDY,TDP,1984
NELLORE (SC),Andhra, PENCHALAIAH PUCHALAPALLI,TDP,1984
TIRUPATHI (SC),Andhra, CHINTA MOHAN,TDP,1984
CHITTOOR,Andhra, N.P.JHANSI LAKSHMI,TDP,1984
RAJAMPET,Andhra, PALAKONDRAYUDU SUGAVASI,TDP,1984
CUDDAPAH,Andhra, D.N.REDDY,TDP,1984
HINDUPUR,Andhra, K. RAMACHANDRA REDDY,TDP,1984
ANANTAPUR,Andhra, DEVINENI NARAYANA SWAMY,TDP,1984
KURNOOL,Andhra, ERASU AYYAPU REDDY,TDP,1984
NANDYAL,Andhra, MADDUR SUBBA REDDY,TDP,1984
NAGARKURNOOL (SC),Andhra, V. TULSIRAM,TDP,1984
MAHABUBNAGAR,Andhra, SUDINI JAIPAL REDDY,JNP,1984
HYDERABAD,Andhra, SULTAN SALAHUDDIN OWAISE,IND,1984
SECUNDERABAD,Andhra, T.ANJAIAH,INC,1984
SIDDIPET (SC),Andhra, G.VIJAYARAMARAO,TDP,1984
MEDAK,Andhra, P.MANIK REDDY,TDP,1984
NIZAMABAD,Andhra, TADUR BALA GOUD,INC,1984
ADILABAD,Andhra, C. MADHAV REDDY,TDP,1984
PEDDAPALLI (SC),Andhra, GOTTE BHOOPATHY,TDP,1984
KARIMNAGAR,Andhra, JUVVADI CHOKKARAO,INC,1984
HANAMKONDA,Andhra, CHANDUPATLA JANGA REDDY,BJP,1984
WARANGAL,Andhra, T. KALPANA DEVI,TDP,1984
KHAMMAM,Andhra, JALAGAM VENGALA RAO,INC,1984
BETTIAH,Bihar, MANOJ KUMAR PANDE,INC,1984
MOTIHARI,Bihar, PRABHAWATI GUPTA,INC,1984
GOPALGANJ,Bihar, KALI PRASAD PANDEY,IND,1984
SIWAN,Bihar, ABDUL GHAFOOR,INC,1984
MAHARAJGANJ,Bihar, KRISHNAPRATAP SINGH,INC,1984
CHAPRA,Bihar, RAM BAHADUR SINGH,JNP,1984
HAJIPUR (SC),Bihar, RAM RATAN RAM,INC,1984
VAISHALI,Bihar, KISHORI SINHA,INC,1984
MUZAFFARPUR,Bihar, LALITESHWAR PRASAD SHAHI,INC,1984
SITAMARHI,Bihar, RANSHRESTH KHIRHAR,INC,1984
SHEOHAR,Bihar, RAM DULARI SINGH,INC,1984
MADHUBANI,Bihar, ABDUL HANNAN AN,INC,1984
JHANJHARPUR,Bihar, GAURI SHANKAR RAJHANS,INC,1984
DARBHANGA,Bihar, VIJAY KUMAR MISHRA,LKD,1984
ROSERA (SC),Bihar, RAM BHAGAT PASWAN,INC,1984
SAMASTIPUR,Bihar, RAMDEO RAI,INC,1984
BARH,Bihar, PRAKASH CHANDRA,INC,1984
BALIA,Bihar, CHANDRA BHANU DEVI,INC,1984
SAHARSA,Bihar, CHANDRA KISHORE PATHAK,INC,1984
MADHEPURA,Bihar, MAHABIR PRASAD YADAV,INC,1984
ARARIA (SC),Bihar, DOOMAR LAL BAITHA,INC,1984
KISHANGANJ,Bihar, JAMILUR RAHMAN,INC,1984
PURNEA,Bihar, MADHUREE SINGH,INC,1984
KATIHAR,Bihar, TARIQ ANWAR,INC,1984
RAJMAHAL (ST),Bihar, SETH HEMBROM,INC,1984
DUMKA (ST),Bihar, PRITHIWI CHAND KISKU,INC,1984
GODDA,Bihar, SAMINUDDIN,INC,1984
BANKA,Bihar, MANORMA SINGH,INC,1984
BHAGALPUR,Bihar, BHAGWAT JHA AZAD,INC,1984
KHAGARIA,Bihar, CHANDRA SHEKHAR PRASAD VERMA,INC,1984
MONGHYR,Bihar, DEVENDRA PD. YADAV,INC,1984
BEGUSARAI,Bihar, KRISHNA SHAHI,INC,1984
NALANDA,Bihar, VIJAY KUMAR YADAV,CPI,1984
PATNA,Bihar, C. P. THAKUR,INC,1984
ARRAH,Bihar, BALI RAM BHAGAT,INC,1984
BUXAR,Bihar, KAMLA KANT TIWARI,INC,1984
SASARAM (SC),Bihar, JAGJIWAN RAM,ICJ,1984
AURANGABAD,Bihar, SATYENDRA NARAIN SINGH,INC,1984
JAHANABAD,Bihar, RAMASHARAY PD. SINGH,CPI,1984
NAWADA (SC),Bihar, KUNWAR RAM,INC,1984
GAYA (SC),Bihar, RAM SWAROOP RAM,INC,1984
CHATRA,Bihar, YOGESHWAR PRASAD YOGESH,INC,1984
KODARMA,Bihar, TILAK DHARI SINGH,INC,1984
GIRIDIH,Bihar, SARFRAJ AHMED,INC,1984
DHANBAD,Bihar, SHANKAR DAYAL SINGH,INC,1984
HAZARIBAGH,Bihar, DAMODAR PANDEY,INC,1984
RANCHI,Bihar, SHEO PRASAD SAHU,INC,1984
JAMSHEDPUR,Bihar, GOPESHWAR,INC,1984
SINGHBHUM (ST),Bihar, BEGUN SUMBRUI,INC,1984
KHUNTI (ST),Bihar, SIMON TIGGA,INC,1984
LOHARDAGA (ST),Bihar, SUMATI ORAON,INC,1984
BAGAHA (SC) ,Bihar,BHOLA RAUT ,INC,1984
BIKRAMGANJ ,Bihar,TAPESHWAR SINGH, INC,1984
PALAMAU (SC) ,Bihar,KAMLA KUMARI ,INC,1984
SURENDRANAGAR,Gujarat, JHALA DIGIVIJAYSINHJI PRATAPSINHJI,INC,1984
JAMNAGAR,Gujarat, JADEJA DAULATSINH PARTAP SINH,INC,1984
RAJKOT,Gujarat, MAVANI RAMABEN RAMJIBHAI,INC,1984
PORBANDAR,Gujarat, ODEDARA BHARATBHAI MALDEVJI,INC,1984
JUNAGADH,Gujarat, PATEL MOHANBHAI LALJIBHAI,INC,1984
AMRELI,Gujarat, RAVANI NAVINCHANDRABHAI PARMANANDDAS,INC,1984
BHAVNAGAR,Gujarat, GOHIL GIGABHAI BHAVUBHAI,INC,1984
DHANDHUKA (SC),Gujarat, NARSINHBHAI KARSANBHAI MAKWANA,INC,1984
AHMEDABAD,Gujarat, HAROOBHAI MEHTA,INC,1984
GANDHINAGAR,Gujarat, G.I.PATEL,INC,1984
MEHSANA,Gujarat, A.K.PATEL,BJP,1984
PATAN (SC),Gujarat, VANKAR PUNAMCHAND MITHABHAI,INC,1984
BANASKANTHA,Gujarat, B.K.GADHVI,INC,1984
SABARKANTHA,Gujarat, H.M.PATEL,JNP,1984
KAPADVANJ,Gujarat, SOLANKI NATAVERSINGH KESARISINGHJI,INC,1984
DOHAD (ST),Gujarat, DAMOR SOMJIBHAI PUNJABHAI,INC,1984
GODHRA,Gujarat, JAYDEEPSINHJI,INC,1984
KAIRA,Gujarat, AJITSINH FULSINHJI DYABHAI,INC,1984
ANAND,Gujarat, ISHVERBHAI KHODABHAI CHAVADA,INC,1984
BARODA,Gujarat, GAEKWAD RANJITSINH PRATAPSHINH,INC,1984
BROACH,Gujarat, PATEL AHMEDBHAI MOHAMMEDBHAI,INC,1984
SURAT,Gujarat, PATEL CHHAGANBHAI DEVABHAI,INC,1984
KUTCH ,Gujarat,USHABEN RAGHAVJI THAKKAR ,INC,1984
CHHOTA UDAIPUR (ST) ,Gujarat,RATHWA AMARSINH VIRIYABHAI ,INC,1984
MANDVI (ST) ,Gujarat,GAMIT CHHITUBHAI DEVJIBHAI ,INC,1984
BULSAR (ST) ,Gujarat,PATEL UTTAMBHAI HARJIBHAI ,INC,1984
KURUKSHETRA,Haryana, HARPAL SINGH,INC,1984
KARNAL,Haryana, CHIRANJI LAL,INC,1984
SONEPAT,Haryana, DHARAM PAL SINGH,INC,1984
ROHTAK,Haryana, HARDWARI LAL,INC,1984
