ST_CODE,PC_NAME,ST_NAME,CAND_NAME,PARTYABBRE,YEAR,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
S01,SRIKAKULAM,ANDHRA,KINJARAPU YERRANNAIDU,TDP,1998,1,GEN,3,M,286582
S01,PARVATHIPURAM,ANDHRA,VIJAYA RAMARAJU SETRUCHARLA,TDP,1998,2,ST,3,M,299904
S01,BOBBILI,ANDHRA,KONDAPALLI PYDITHALLI NAIDU,TDP,1998,3,GEN,3,M,298961
S01,VISAKHAPATNAM,ANDHRA,SUBBARAMI REDDY.T,INC,1998,4,GEN,3,M,375782
S01,BHADRACHALAM,ANDHRA,RAMAIAH SODE,CPI,1998,5,ST,3,M,263141
S01,ANAKAPALLI,ANDHRA,GURUNADHA RAO GUDIVADA,INC,1998,6,GEN,3,M,321840
S01,KAKINADA,ANDHRA,KRISHNAMRAJU U.V.,BJP,1998,7,GEN,3,M,330381
S01,RAJAHMUNDRY,ANDHRA,GIRAJALA VENKATA SWAMY NAIDU,BJP,1998,8,GEN,3,M,285741
S01,AMALAPURAM,ANDHRA,GANTI MOHANA CHANDRA BALAYOGI,TDP,1998,9,SC,3,M,286953
S01,NARASAPUR,ANDHRA,KANUMURU BAPI RAJU,INC,1998,10,GEN,3,M,368630
S01,ELURU,ANDHRA,MAGANTI VENKATESWARA RAO (BABU),INC,1998,11,GEN,3,M,385412
S01,MACHILIPATNAM,ANDHRA,KAVURU SAMBASIVA RAO,INC,1998,12,GEN,3,M,355030
S01,VIJAYAWADA,ANDHRA,UPENDRA PARVATHANENI,INC,1998,13,GEN,3,M,405062
S01,TENALI,ANDHRA,P.SHIV SHANKER,INC,1998,14,GEN,3,M,290014
S01,GUNTUR,ANDHRA,RAYAPATI SAMBASIVA RAO,INC,1998,15,GEN,3,M,359456
S01,BAPATLA,ANDHRA,JANARDHANA REDDY NEDURUMALLI,INC,1998,16,GEN,3,M,316788
S01,NARASARAOPET,ANDHRA,KONIJETI ROSAIAH,INC,1998,17,GEN,3,M,375815
S01,ONGOLE,ANDHRA,MAGUNTA SREENIVASULU REDDY,INC,1998,18,GEN,3,M,351390
S01,NELLORE,ANDHRA,PANABAKA LAKSHMI,INC,1998,19,SC,3,F,296731
S01,TIRUPATHI,ANDHRA,CHINTHA MOHAN,INC,1998,20,SC,3,M,288904
S01,CHITTOOR,ANDHRA,NUTHANAKALVA RAMAKRISHNA REDDY,TDP,1998,21,GEN,3,M,349831
S01,RAJAMPET,ANDHRA,ANNAIAHGARI SAI PRATAP,INC,1998,22,GEN,3,M,274889
S01,CUDDAPAH,ANDHRA,Y.S.RAJASEKHAR REDDY,INC,1998,23,GEN,3,M,374762
S01,HINDUPUR,ANDHRA,S.GANGADHAR,INC,1998,24,GEN,3,M,284096
S01,ANANTAPUR,ANDHRA,ANANTHA VENKATARAMI REDDY,INC,1998,25,GEN,3,M,320474
S01,KURNOOL,ANDHRA,KOTLA VIJAYA BHASKARA REDDY,INC,1998,26,GEN,3,M,368044
S01,NANDYAL,ANDHRA,BHUMA NAGI REDDY,TDP,1998,27,GEN,3,M,338100
S01,NAGARKURNOOL,ANDHRA,DR.MALLU RAVI,INC,1998,28,SC,3,M,329127
S01,MAHABUBNAGAR,ANDHRA,S.JAIPAL REDDY,JD,1998,29,GEN,3,M,278302
S01,HYDERABAD,ANDHRA,SULTAN SALAHUDDIN OWAISI,AIMIM,1998,30,GEN,3,M,485785
S01,SECUNDERABAD,ANDHRA,BANDARU DATTATREYA,BJP,1998,31,GEN,3,M,438586
S01,SIDDIPET,ANDHRA,MALYALA RAJAIAH,TDP,1998,32,SC,3,M,348194
S01,MEDAK,ANDHRA,M.BAGA REDDY,INC,1998,33,GEN,3,M,269122
S01,NIZAMABAD,ANDHRA,GANGAREDDY GADDAM,TDP,1998,34,GEN,3,M,281851
S01,ADILABAD,ANDHRA,DR.S.VENUGOPALA CHARY,TDP,1998,35,GEN,3,M,291168
S01,PEDDAPALLI,ANDHRA,C. SUGUNA KUMARI,TDP,1998,36,SC,3,F,322801
S01,KARIMNAGAR,ANDHRA,CHENNAMANENI VIDYASAGAR RAO,BJP,1998,37,GEN,3,M,329030
S01,HANAMKONDA,ANDHRA,CHADA SURESH REDDY,TDP,1998,38,GEN,3,M,287277
S01,WARANGAL,ANDHRA,AZMEERA CHANDULAL,TDP,1998,39,GEN,3,M,323093
S01,KHAMMAM,ANDHRA,NADENDLA BHASKAR RAO,INC,1998,40,GEN,3,M,363747
S01,NALGONDA,ANDHRA,SURAVARAM SUDHAKAR REDDY,CPI,1998,41,GEN,3,M,314983
S01,MIRYALGUDA,ANDHRA,BADDAM NARSIMHA REDDY,INC,1998,42,GEN,3,M,334183
S04,BAGAHA,BIHAR,MAHENDRA BAITHA,SAP,1998,1,SC,3,M,231919
S04,BETTIAH,BIHAR,DR.MADAN PRASAD JAISWAL,BJP,1998,2,GEN,3,M,301388
S04,MOTIHARI,BIHAR,RAMA DEVI,RJD,1998,3,GEN,3,F,274272
S04,GOPALGANJ,BIHAR,ABDUL GHAFOOR,SAP,1998,4,GEN,3,M,322012
S04,SIWAN,BIHAR,M.SAHABUDDIN,RJD,1998,5,GEN,3,M,327341
S04,MAHARAJGANJ,BIHAR,PRABHUNATH SINGH,SAP,1998,6,GEN,3,M,360265
S04,CHAPRA,BIHAR,HEERA LAL RAI,RJD,1998,7,GEN,3,M,331591
S04,HAJIPUR,BIHAR,RAM VILAS PASWAN,JD,1998,8,SC,3,M,486350
S04,VAISHALI,BIHAR,RAGHUVANSH PRASAD SINGH,RJD,1998,9,GEN,3,M,322101
S04,MUZAFFARPUR,BIHAR,CAPTAIN JAI NA. PD. NISHAD,RJD,1998,10,GEN,3,M,319996
S04,SITAMARHI,BIHAR,SITA RAM YADAV,RJD,1998,11,GEN,3,M,277898
S04,SHEOHAR,BIHAR,ANAND MOHAN,AIRJP,1998,12,GEN,3,M,289830
S04,MADHUBANI,BIHAR,DR.SHAKEEL AHMAD,INC,1998,13,GEN,3,M,285029
S04,JHANJHARPUR,BIHAR,SURENDRA PRASAD YADAV,RJD,1998,14,GEN,3,M,260700
S04,DARBHANGA,BIHAR,MD.ALI ASHARAF FATMI,RJD,1998,15,GEN,3,M,315503
S04,ROSERA,BIHAR,PITAMBAR PASWAN,RJD,1998,16,SC,3,M,260492
S04,SAMASTIPUR,BIHAR,AJIT KUMAR MEHTA,RJD,1998,17,GEN,3,M,301099
S04,BARH,BIHAR,NITISH KUMAR,SAP,1998,18,GEN,3,M,356836
S04,BALIA,BIHAR,RAJBANSHI MAHTO,RJD,1998,19,GEN,3,M,240119
S04,SAHARSA,BIHAR,ANUPLAL YADAV,RJD,1998,20,GEN,3,M,259961
S04,MADHEPURA,BIHAR,LALU PRASAD,RJD,1998,21,GEN,3,M,297686
S04,ARARIA,BIHAR,RAMJE DAS RISHIDEO,BJP,1998,22,SC,3,M,309233
S04,KISHANGANJ,BIHAR,TASLIM UDDIN,RJD,1998,23,GEN,3,M,236744
S04,PURNEA,BIHAR,JAY KRISHNA MANDAL,BJP,1998,24,GEN,3,M,265096
S04,KATIHAR,BIHAR,TARIQ ANAWAR,INC,1998,25,GEN,3,M,337360
S04,RAJMAHAL,BIHAR,SOM MARANDI,BJP,1998,26,ST,3,M,198889
S04,DUMKA,BIHAR,BABU LAL MARANDI,BJP,1998,27,ST,3,M,277334
S04,GODDA,BIHAR,JAGDAMBI PRASAD YADAV,BJP,1998,28,GEN,3,M,334015
S04,BANKA,BIHAR,DIGVIJAY SINGH,SAP,1998,29,GEN,3,M,331660
S04,BHAGALPUR,BIHAR,PRABHAS CHANDRA TIWARI,BJP,1998,30,GEN,3,M,349463
S04,KHAGARIA,BIHAR,SHAKUNI CHOUDHURY,SAP,1998,31,GEN,3,M,333475
S04,MONGHYR,BIHAR,"BIJOY KUMAR ""BIJOY""",RJD,1998,32,GEN,3,M,350583
S04,BEGUSARAI,BIHAR,RAJO SINGH,INC,1998,33,GEN,3,M,296475
S04,NALANDA,BIHAR,GEORGE FERNANDES,SAP,1998,34,GEN,3,M,444784
S04,PATNA,BIHAR,C.P.THAKUR,BJP,1998,35,GEN,3,M,331860
S04,ARRAH,BIHAR,H.P.SINGH,SAP,1998,36,GEN,3,M,286286
S04,BUXAR,BIHAR,LALMUNI CHAUBEY,BJP,1998,37,GEN,3,M,266961
S04,SASARAM,BIHAR,MUNI LALL,BJP,1998,38,SC,3,M,282865
S04,BIKRAMGANJ,BIHAR,BASHIST NARAYAN SINGH,SAP,1998,39,GEN,3,M,301789
S04,AURANGABAD,BIHAR,SUSHIL KUMAR SINGH,SAP,1998,40,GEN,3,M,295449
S04,JAHANABAD,BIHAR,SURENDRA PRASAD YADAV,RJD,1998,41,GEN,3,M,355322
S04,NAWADA,BIHAR,MALTI DEVI,RJD,1998,42,SC,3,F,405495
S04,GAYA,BIHAR,KRISHNA KUMAR CHAUDHARY,BJP,1998,43,SC,3,M,303225
S04,CHATRA,BIHAR,DHIRENDRA AGRAWAL,BJP,1998,44,GEN,3,M,225086
S04,KODARMA,BIHAR,RITLAL PRASAD VERMA,BJP,1998,45,GEN,3,M,280635
S04,GIRIDIH,BIHAR,RABINDRA KUMAR PANDEY,BJP,1998,46,GEN,3,M,285523
S04,DHANBAD,BIHAR,RITA VERMA,BJP,1998,47,GEN,3,F,442590
S04,HAZARIBAGH,BIHAR,YASHWANT SINHA,BJP,1998,48,GEN,3,M,323283
S04,RANCHI,BIHAR,RAMTAHAL CHOUDHARY,BJP,1998,49,GEN,3,M,398022
S04,JAMSHEDPUR,BIHAR,ABHA MAHATO,BJP,1998,50,GEN,3,F,296686
S04,SINGHBHUM,BIHAR,VIJAY SINGH SOY,INC,1998,51,ST,3,M,186248
S04,KHUNTI,BIHAR,KARIYA MUNDA,BJP,1998,52,ST,3,M,200406
S04,LOHARDAGA,BIHAR,INDRA NATH BHAGAT,INC,1998,53,ST,3,M,233629
S04,PALAMAU,BIHAR,BRAJ MOHAN RAM,BJP,1998,54,SC,3,M,317513
S06,KUTCH,GUJARAT,GADHVI PUSHPADAN SHAMBHUDAN,BJP,1998,1,GEN,3,M,224795
S06,SURENDRANAGAR,GUJARAT,DAVE BHAVNABEN KARDAMKUMAR,BJP,1998,2,GEN,3,F,268819
S06,JAMNAGAR,GUJARAT,KORADIA CHANDRESHBHAI VALJIBHAI  (CHANDRESH PATEL),BJP,1998,3,GEN,3,M,231124
S06,RAJKOT,GUJARAT,DR.KATHIRIYA VALLABHBHAI RAMJIBHAI,BJP,1998,4,GEN,3,M,480316
S06,PORBANDAR,GUJARAT,JAVIYA GORDHANBHAI JADAVBHAI,BJP,1998,5,GEN,3,M,257516
S06,JUNAGADH,GUJARAT,CHIKHALIYA BHAVANABEN DEVRAJBHAI,BJP,1998,6,GEN,3,F,318667
S06,AMRELI,GUJARAT,DILEEP SANGHANI,BJP,1998,7,GEN,3,M,264814
S06,BHAVNAGAR,GUJARAT,RANA RAJENDRASINH GHANSHYAMSINH (RAJUBHAI RANA),BJP,1998,8,GEN,3,M,289344
S06,DHANDHUKA,GUJARAT,VARMA RATILAL KALIDAS,BJP,1998,9,SC,3,M,260061
S06,AHMEDABAD,GUJARAT,HARIN PATHAK,BJP,1998,10,GEN,3,M,350699
S06,GANDHINAGAR,GUJARAT,ADVANI LALKRISHNA,BJP,1998,11,GEN,3,M,541340
S06,MEHSANA,GUJARAT,DR. A.K.PATEL,BJP,1998,12,GEN,3,M,338368
S06,PATAN,GUJARAT,KANODIYA MAHESHKUMAR MITHABHAI,BJP,1998,13,SC,3,M,293800
S06,BANASKANTHA,GUJARAT,CHAUDHARI HARIBHAI PARATHIBHAI,BJP,1998,14,GEN,3,M,382714
S06,SABARKANTHA,GUJARAT,NISHABEN AMARSINHBHAI CHAUDHARI,INC,1998,15,GEN,3,F,288752
S06,KAPADVANJ,GUJARAT,CHAUHAN JAYSINHJI MANSHINGJI,BJP,1998,16,GEN,3,M,274507
S06,DOHAD,GUJARAT,DAMOR SOMJIBHAI PUNJABHAI,INC,1998,17,ST,3,M,276011
S06,GODHRA,GUJARAT,PATEL SHANTILAL PARSHOTAMDAS,INC,1998,18,GEN,3,M,200168
S06,KAIRA,GUJARAT,DINSHA PATEL,INC,1998,19,GEN,3,M,273372
S06,ANAND,GUJARAT,CHAVDA ISHVARBHAI KHODABHAI,INC,1998,20,GEN,3,M,337265
S06,CHHOTA UDAIPUR,GUJARAT,NARANBHAI JEMALABHAI RATHAWA,INC,1998,21,ST,3,M,279867
S06,BARODA,GUJARAT,THAKKAR JAYABEN BHARATKUMAR,BJP,1998,22,GEN,3,F,387798
S06,BROACH,GUJARAT,MANSUKHBHAI VASAVA,BJP,1998,23,GEN,3,M,263499
S06,SURAT,GUJARAT,KASHIRAM RANA,BJP,1998,24,GEN,3,M,564601
S06,MANDVI,GUJARAT,GAMIT CHHITUBHAI DEVJIBHAI,INC,1998,25,ST,3,M,285905
S06,BULSAR,GUJARAT,CHAUDHARI MANIBHAI RAMJIBHAI,BJP,1998,26,ST,3,M,290312
S07,AMBALA,HARYANA,AMAN KUMAR NAGRA,BSP,1998,1,SC,3,M,273792
S07,KURUKSHETRA,HARYANA,KAILASHO  DEVI,HLD(R),1998,2,GEN,3,F,333387
S07,KARNAL,HARYANA,BHAJAN LAL,INC,1998,3,GEN,3,M,327750
S07,SONEPAT,HARYANA,KISHAN SINGH,HLD(R),1998,4,GEN,3,M,290299
S07,ROHTAK,HARYANA,BHUPINDER SINGH,INC,1998,5,GEN,3,M,254951
S07,FARIDABAD,HARYANA,RAMCHANDER BAINDA,BJP,1998,6,GEN,3,M,304022
S07,MAHENDRAGARH,HARYANA,INDERJIT SINGH,INC,1998,7,GEN,3,M,329126
S07,BHIWANI,HARYANA,SURENDER SINGH S/O BANSI LAL,HVP,1998,8,GEN,3,M,361257
S07,HISSAR,HARYANA,SURENDER SINGH BARWALA,HLD(R),1998,9,GEN,3,M,260271
S07,SIRSA,HARYANA,DR.SUSHIL KUMAR INDORA,HLD(R),1998,10,SC,3,M,309451
S08,SIMLA,HIMACHAL PRADESH,KARISHAN DATT SULTANPURI,INC,1998,1,SC,3,M,307861
S08,MANDI,HIMACHAL PRADESH,MAHESHWAR SINGH,BJP,1998,2,GEN,3,M,304210
