Constituency,State,MP,Party,Year,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
ADILABAD,Andhra, G. NARASIMHA REDDY,INC(I),1980,,,,,
AMALAPURAM (SC),Andhra, KUSUMA KRISHNAMURTHI,INC(I),1980,,,,,
ANAKAPALLI,Andhra, APPALA NAIDU S.R.A.S,INC(I),1980,,,,,
ANANTAPUR,Andhra, DARUR PULLAIAH,INC(I),1980,,,,,
BAPATLA,Andhra, ANKINEEDU PRASADA RAO PAMULAPATI,INC(I),1980,,,,,
BHADRACHALAM (ST),Andhra, B.RADHABAI ANANDA RAO,INC(I),1980,,,,,
BOBBILI,Andhra, P.V.GAJAPATHI RAJU,INC(I),1980,,,,,
CHITTOOR,Andhra, P. RAJAGOPAL NAIDU,INC(I),1980,,,,,
CUDDAPAH,Andhra, K. OBUL REDDY,INC(I),1980,,,,,
ELURU,Andhra, CHITTOORI SUBBARAO CHOWDARY,INC(I),1980,,,,,
GUNTUR,Andhra, N. G. RANGA,INC(I),1980,,,,,
HANAMKONDA,Andhra, P. V. NARSIMHA RAO,INC(I),1980,,,,,
HINDUPUR,Andhra, P. BAYAPA REDDY,INC(I),1980,,,,,
HYDERABAD,Andhra, K.S. NARAYANA,INC(I),1980,,,,,
KAKINADA,Andhra, SANJEEVI RAO M.S.,INC(I),1980,,,,,
KARIMNAGAR,Andhra, M.SATYANARAYANA RAO,INC(I),1980,,,,,
KHAMMAM,Andhra, KONDALA RAO JALAGAM,INC(I),1980,,,,,
KURNOOL,Andhra, K. VIJAYABHASKARA REDDI,INC(I),1980,,,,,
MACHILIPATNAM,Andhra, ANKINEEDU MAGANTI,INC(I),1980,,,,,
MAHABUBNAGAR,Andhra, MALLIKARJUN,INC(I),1980,,,,,
MEDAK,Andhra, INDIRA GANDHI,INC(I),1980,,,,,
MIRYALGUDA ,Andhra,G. S. REDDY ,INC(I),1980,,,,,
NAGARKURNOOL (SC),Andhra, ANANTHARAMULU MALLU,INC(I),1980,,,,,
NALGONDA,Andhra, T. DAMODAR REDDY,INC(I),1980,,,,,
NANDYAL,Andhra, P. VENKATA SUBBAIAH,INC(I),1980,,,,,
NARASAPUR,Andhra, ALLURI SUBHASCHANDRA BOSE,INC(I),1980,,,,,
NARASARAOPET,Andhra, K. BRAMHANANDA REDDY,INC(I),1980,,,,,
NELLORE (SC),Andhra, D. KAMAKSHAIAH,INC(I),1980,,,,,
NIZAMABAD,Andhra, M. RAMGOPAL REDDY,INC(I),1980,,,,,
ONGOLE,Andhra, VENKATA REDDI PULI,INC(I),1980,,,,,
PARVATHIPURAM (ST),Andhra, K.C.SURYANARAYANA DEO VYRICHERLA,INC(U),1980,,,,,
PEDDAPALLI (SC),Andhra, K. RAJAMALLU,INC(I),1980,,,,,
RAJAHMUNDRY,Andhra, S.B.P.PATTABHI RAMA RAO,INC(I),1980,,,,,
RAJAMPET,Andhra, P. PARTHASARATHY,INC(I),1980,,,,,
SECUNDERABAD,Andhra, P. SHIV SHANKER,INC(I),1980,,,,,
SIDDIPET (SC),Andhra, NANDI YELLAIAH,INC(I),1980,,,,,
SRIKAKULAM ,Andhra,RAJAGOPALARAO BODDEPALLI ,INC(I),1980,,,,,
TENALI,Andhra, MEDURI NAGESWARA RAO,INC(I),1980,,,,,
TIRUPATHI (SC),Andhra, PASALA PENCHALAIAH,INC(I),1980,,,,,
VIJAYAWADA,Andhra, VIDYA CHENNUPATI,INC(I),1980,,,,,
VISAKHAPATNAM,Andhra, APPALASWAMY KOMMURU,INC(I),1980,,,,,
WARANGAL,Andhra, MD. KAMALODDIN AHMED,INC(I),1980,,,,,
ARARIA (SC),Bihar, DUMAR LAL BAITHA,INC(I),1980,,,,,
ARRAH ,Bihar,CHANDRADEO PRASAD VERMA ,JNP(S),1980,,,,,
AURANGABAD,Bihar, SATYENDRA NARAIN SINGH,JNP,1980,,,,,
BAGAHA (SC) ,Bihar,BHOLA RAUT ,INC(I),1980,,,,,
BALIA,Bihar, SURYA NARAYAN SINGH,CPI,1980,,,,,
BANKA,Bihar, CHANDRA SHEKHAR SINGH,INC(I),1980,,,,,
BARH,Bihar, DHARMVIR SINGH,INC(U),1980,,,,,
BEGUSARAI,Bihar, KRISHNA SHAHI,INC(I),1980,,,,,
BETTIAH,Bihar, KEDAR PANDEY,INC(I),1980,,,,,
BHAGALPUR,Bihar, BHAGWAT JHA AZAD,INC(I),1980,,,,,
BIKRAMGANJ,Bihar, TAPESHWAR SINGH,INC(I),1980,,,,,
BUXAR,Bihar, K. K. TIWARI,INC(I),1980,,,,,
CHAPRA,Bihar, SATYADEO SINGH,JNP,1980,,,,,
CHATRA,Bihar, RANJIT SINGH,INC(I),1980,,,,,
DARBHANGA,Bihar, HARI NATH MISHRA,INC(I),1980,,,,,
DHANBAD,Bihar, A. K. ROY,IND,1980,,,,,
DUMKA (ST),Bihar, SHIBU SIREN,IND,1980,,,,,
GAYA (SC),Bihar, RAMSWAROOP RAM,INC(I),1980,,,,,
GIRIDIH,Bihar, BINDESHWARI DUBEY,INC(I),1980,,,,,
GODDA,Bihar, SAMIN UDIN,INC(I),1980,,,,,
GOPALGANJ,Bihar, NAGINA RAI,INC(I),1980,,,,,
HAJIPUR (SC),Bihar, RAM VILAS PASWAN,JNP(S),1980,,,,,
HAZARIBAGH,Bihar, KUNWAR BASANT NARAYAN SINGH,JNP,1980,,,,,
JAHANABAD,Bihar, MAHENDARA PRASAD,INC(I),1980,,,,,
JAMSHEDPUR,Bihar, RUDRA PRATAP SARANGI,JNP,1980,,,,,
JHANJHARPUR,Bihar, DHANIK LAL MANDAL,JNP(S),1980,,,,,
KATIHAR,Bihar, SHAH TARIQUE ANWAR,INC(I),1980,,,,,
KHAGARIA,Bihar, SATISH PD. SINGH,INC(I),1980,,,,,
KHUNTI (ST),Bihar,NIREL ENEM HORO,JKD,1980,,,,,
KISHANGANJ,Bihar, ZAMILUR RAHMAN,INC(I),1980,,,,,
KODARMA,Bihar, REET LAL PD. VERMA,JNP,1980,,,,,
LOHARDAGA (ST),Bihar,KARTIK ORAON,INC(I),1980,,,,,
MADHEPURA,Bihar, RAJENDRA PD. YADAV,INC(U),1980,,,,,
MADHUBANI,Bihar,B.JHA,CPI,1980,,,,,
MAHARAJGANJ,Bihar, KRISHNA PRATAP SINGH,INC(I),1980,,,,,
MONGER  ,Bihar,DEVENDRA PRASAD YADAV,INC(U),1980,,,,,
MOTIHARI,Bihar, KAMLA MISHRA MADHUKAR,CPI,1980,,,,,
MUZAFFARPUR,Bihar, GEORGE FARNANDES,JNP(S),1980,,,,,
NALANDA,Bihar, VIJAY KUMAR YADAV,CPI,1980,,,,,
NAWADA (SC),Bihar, KUNWAR RAM,INC(I),1980,,,,,
PALAMAU (SC) ,Bihar,KAMLA KUMARI,INC(I),1980,,,,,
PATNA,Bihar, RAMAVATAR SHASTRI,CPI,1980,,,,,
PURNEA,Bihar, MADHURI SINGH,INC(I),1980,,,,,
RAJMAHAL (ST),Bihar,SETH HEMREM,INC(I),1980,,,,,
RANCHI,Bihar, SHIVA PRASAD SAHU,INC(I),1980,,,,,
ROSERA (SC),Bihar, BALESHWAR RAM,INC(I),1980,,,,,
SAHARSA,Bihar, KAMAL NATH JHA,INC(I),1980,,,,,
SAMASTIPUR,Bihar, AJIT KUMAR MEHTA,JNP(S),1980,,,,,
SASARAM (SC),Bihar, JAGJIWAN RAM,JNP,1980,,,,,
SHEOHAR,Bihar, RAM DULARI SINGH,INC(I),1980,,,,,
SINGHBHUM (ST),Bihar,BAGUN SUMBRUI,JNP,1980,,,,,
SITAMARHI,Bihar, BALIRAM BHAGAT,INC(U),1980,,,,,
SIWAN,Bihar, M. YUSUF,INC(I),1980,,,,,
VAISHALI,Bihar, KISHROI SINHA,JNP,1980,,,,,
CHANDNI CHOWK,Delhi, BHIKU RAM JAIN,INC(I),1980,,,,,
DELHI SADAR,Delhi, JAGDISH TYTLER,INC(I),1980,,,,,
EAST DELHI,Delhi, H.K.L. BHAGAT,INC(I),1980,,,,,
KAROL BAGH (SC) ,Delhi,DHARAM DASS SHASTRI ,INC(I),1980,,,,,
NEW DELHI ,Delhi,ATAL BIHARI VAJPAYEE ,JNP,1980,,,,,
OUTER DELHI,Delhi, SAJJAN KUMAR,INC(I),1980,,,,,
SOUTH DELHI,Delhi, CHARANJIT SINGH (WEST FRIENDS COLONY),INC(I),1980,,,,,
AHMEDABAD,Gujarat, MAGANBHAI BAROT,INC(I),1980,,,,,
AMRELI ,Gujarat,RAVANI NAVINCHANDRA PARMANANDDAS ,INC(I),1980,,,,,
ANAND,Gujarat, ISHVARBHAI KHODABHAI CHAVDA,INC(I),1980,,,,,
BANASKANTHA,Gujarat, BHERAVDAN KHETDANJI GADHAVI,INC(I),1980,,,,,
BARODA ,Gujarat,GAEKWAD RANJITSINHJI PRATAPSINJI ,INC(I),1980,,,,,
BHAVNAGAR,Gujarat, GOHIL GIGABHAI BHAVUBHAI,INC(I),1980,,,,,
BROACH,Gujarat, PATEL AHMEDBHAI MOHAMMEDBHAI,INC(I),1980,,,,,
BULSAR (ST) ,Gujarat,PATEL UTTAMBHAI HARJIBHAI ,INC(I),1980,,,,,
